Title	ISBN	Subjects
Strike Three, You're Dead (Harvey Bliss Mysteries)	9780802776082	|American Mystery & Suspense Fiction||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||FIC022000||FIC||Mystery & Detective - Series||Mystery & Detective - General|
New Worlds, 2	9780575051454	|Fantasy||Fiction anthologies & collections||Science fiction||Short stories||English Science Fiction And Fantasy||Fiction||Science fiction, English|
The Topsy-Turvy Storybook	9780575058675	|Children's All Ages||Fiction||Picture books||Juvenile Fiction||Children: Grades 2-3|
The Moonstone (Penguin Readers, Level 6)	9780582418226	|Classic fiction||English language readers||English literature: fiction texts||Fiction||Foreign Language - Dictionaries / Phrase Books||English||Literature: Classics||English as a Second Language||Foreign Language Study / English as a Second Language||Classics|
The Little Mermaid (Penguin Young Readers, Level 1)	9780582428669	|ELT literature & fiction readers||General||Fiction||Children's 9-12 - Fiction - General||Literature: Classics||Classics|
A White Romance (Point Signature)	9780590130059	|Social Issues - General||Love & Romance||Fiction||Juvenile Fiction||Children's 12-Up - Fiction - General||Children: Young Adult (Gr. 7-9)||Social Situations - General||Race relations||Afro-Americans||Friendship|
The Three Little Kittens	9780590333702	|General||Fiction||Nursery rhymes||Children's All Ages||Juvenile Fiction|
Teacher's Pet	9780590431149	|Fiction||Friendship||Children's Books - Young Adult Fiction||Children: Young Adult (Gr. 7-9)||Horror & Ghost Stories||Teachers||Children's Books - Young Adult|
Estrella de Navidad	9780735820128	|Religious - Christian||Nativity||Preschool Picture Story Books||Children's Books/Baby-Preschool||Children: Kindergarten||Spanish: Kindergarten||Holidays & Celebrations - Christmas & Advent||Fiction||Jesus Christ||Juvenile Fiction|
Wynema	9780803263789	|19th century fiction||Modern fiction||Novels, other prose & writers: 19th century||Indian women||Fiction||Social Science||Fiction - General||American English||Sociology||North America||General||Fiction / Literary||Ethnic Studies - Native American Studies||Creek Indians|
Violent Crime	9780803911079	|Crime & criminology||Crime||Social Science / Criminology||United States||Congresses||Violence||Violent crimes|
Babylon Rising	9780739319123	|Religious - General||Audiobooks||Unabridged Audio - Fiction/Religious||Fiction||Christian - Futuristic||Fiction / General||Audio - Fiction (Unabridged)|
New England White	9780739343388	|Popular American Fiction||Fiction||Abridged Audio - Fiction/General||Mystery/Suspense||General||Fiction / General||Mystery & Detective - General||Suspense||Audiobooks|
Romance of the Three Kingdoms	9780804807265	|General||Fiction||Literature: Folklore/Mythology||Unassigned Title|
The Izu Dancer & Other Stories	9780804811415	|Fiction anthologies & collections||Modern fiction||Short Stories (single author)||Japan||Fiction - General||Performing Arts/Dance||Social life and customs||Asian - General||Fiction||Japanese fiction||Translations into English|
Humphrey's Bear (An Owlet Book)	9780805011692	|General||Children's Books/Ages 4-8 Fiction||Children's 4-8||Children: Babies & Toddlers||Teddy bears||Juvenile Fiction / Social Situations / Friendship||Bedtime||Fiction|
An Experiment in Love	9780805052022	|Fiction - General||Fiction||General||Fiction / Literary|
When the World Was New	9780805418804	|Religion - Bible - Stories||Creation||Juvenile Nonfiction||Children's 4-8 - Bibles||Children: Preschool||Religion - Christianity||Religion - Biblical Stories||Fiction|
