Title	ISBN	Subjects
Ben Hur	9780802471017	|Modern fiction||Novels, other prose & writers: 19th century||History of Biblical events||19th Century American Novel And Short Story||Fiction - Religious||Fiction||Religious||Jesus Christ||Tiberius||Bible.||Biographical fiction||N.T.|
Dark Night in Toyland	9780575044487	|Science fiction||Short stories||Fiction||Fiction - General|
The Sellamillion	9780575076112	|Parodies & spoofs||Fiction - General||Fiction||Humorous||Fiction / Humorous||MINNESOTA - MN JUVENILE TRD PB|
The Soul Brothers & Sister Lou	9780590356893	|African Americans||Fiction||Social conditions|
Aftershock	9780732010171	|Fiction||Mystery & Detective - General||Audio Adult: Books On Tape|
The Jungle Book 2	9780736420846	|Jungles||Preschool Picture Story Books||Children: Kindergarten||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Movie Tie - In||Children: Grades 2-3||Fiction||Action & Adventure - General||Animals - General||Juvenile Fiction / Movie or Television Tie-In||Animals||Action & Adventure|
Run, Remy, Run! (Step into Reading) (Ratatouille Movie Tie in)	9780736480543	|Juvenile Easy Readers||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Kindergarten||Action & Adventure - General||Cooking & Food||Humorous Stories||Movie Tie - In||Juvenile Fiction / Movie or Television Tie-In||Animals - Mice  Hamsters  Guinea Pigs  etc.||Readers - Beginner||Fiction||Paris (France)|
Silent Night	9780802851383	|Fiction||Personal Christian testimony & popular inspirational works||Picture books||Religious - Hymns||Gruber, Franz Xaver,||Children's 4-8 - Picturebooks||Music||Children's Books/Ages 4-8 Fiction||Children: Grades 3-4||Holidays & Celebrations - Christmas||History||Holidays & Celebrations - Christmas & Advent||Gruber, Franz Xaver||Mohr, Joseph||Silent night, holy night||Carols||Stille Nacht, heilige Nacht||1787-1863||History and criticism|
Final Note (Avalon Mystery)	9780803497399	|Mystery & Detective - General||Mystery/Suspense||Fiction|
Spunky Bears Go Play	9780803701571	|Specimens||Bears||Fiction||Play schools||Miniature books|
Ghost Of Shady Lane (Fortunetellers Club)	9780738705903	|Fiction||Haunted houses||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children: Grades 3-4||Horror & Ghost Stories||Fiction / Science Fiction / General||Clubs||General||Ghosts|
Cry, Wolf	9780738805580	|Horror & ghost stories||Horror - General||Fiction - Horror||Fiction||Occult||General|
Destiny's Child	9780738806143	|Science fiction||Science Fiction - General||Fiction - Science Fiction||Fiction|
Nelda Sees Red	9780738808185	|Crime & mystery||Mystery & Detective - Women Sleuths||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - General|
Painmaker	9780738851969	|Science Fiction||Science Fiction - General||Fiction||Fiction - Science Fiction|
Babylon Rising	9780739307281	|Unabridged Audio - Fiction/Religious||Fiction||Audio Adult: Books On Tape||Christian - Futuristic||Fiction / General||Audiobooks||General|
Sliver of Truth	9780739341834	|American Mystery & Suspense Fiction||Fiction||Abridged Audio - Fiction/Suspense Thriller||Psychological||Thrillers||Fiction / Thrillers||Audiobooks||Abridged Audio - Fiction/Mystery|
China Attacks	9780741404305	|War fiction||Fiction / War||Fiction - Men's  Adventure||War & Military||China||Fiction||Taiwan||War|
Row House Days	9780741424792	|Historical fiction||Fiction||Fiction - Historical||Historical - General|
On the Bumpy Road to Heaven With the Devil in Hot Pursuit	9780741425614	|Adventure / thriller||Fiction||Fiction - General||Action & Adventure|
MURDER ON THE CHESAPEAKE	9780743212717	|Mystery/Suspense||Fiction||Fiction - Mystery/ Detective||Mystery & Detective - General||Fiction / Mystery & Detective / General|
The Battle Lost and Won	9780743246569	|General||Fiction - General||Fiction|
Grandma Baba's Magic Watermelon! (Grandma Baba)	9780804835671	|Fiction||Grandmothers||Children: Kindergarten||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Watermelons||ASIA||General||Animals - General||People & Places - Asia||Seeds|
Skinflick	9780805001976	|United States||Mystery/Suspense||Fiction - General||Private investigators||Mystery & Detective - General||Modern fiction||Fiction||Brandstetter, Dave (Fictitious||Brandstetter, Dave (Fictitious character)||Gay men|
The Complete Phantom of the Opera (Owl Books)	9780805017229	|Modern fiction||Music||Instruction & Study - Voice||Music/Songbooks||Phantom of the Opera||Fiction||Musicals||Genres & Styles - Musicals||Performing Arts / Broadway & Musical Revue||1948-||Librettos||Lloyd Webber, Andrew,||Musical revues, comedies, etc|
The Friends of Eddie Coyle	9780805065985	|Crime & mystery||Mystery & Detective - General||Fiction - Mystery/ Detective||Fiction||Fiction / Mystery & Detective / Hard-Boiled|
The Singing Bird	9780806138183	|Historical - General||Fiction||Fiction - Historical||Cherokee Indians||Trail of Tears, 1838-1839|
Hanukkah	9780807531457	|Short stories||Juvenile fiction||General||Hanukkah||Children's stories, American||Children: Grades 2-3||Children's 9-12||Fiction|
See Through	9780743261500	|Popular American Fiction||Fiction - General||Fiction||Literary||Short Stories (single author)||Fiction / Short Stories (single author)|
Three to Get Deadly (Stephanie Plum Series #3)	9780743267731	|Mystery fiction||Large print books||Fiction - Mystery/ Detective||Fiction||Mystery & Detective - Women Sleuths||Fiction / General||General||Large type books|
The Good House	9780743449014	|General & Literary Fiction||Occult||Fiction||Fiction - Horror||Mystery/Suspense||Suspense||Fiction / Horror|
Chill Factor	9780743466776	|Romance - Suspense||Fiction||Fiction - Romance||Mystery/Suspense||Fiction / Suspense||Suspense||Thrillers|
A Plague of Demons	9780743499064	|Science Fiction||Science Fiction - General||American Science Fiction And Fantasy||Fiction||Fiction - Science Fiction||Science Fiction - Space Opera||Science Fiction - Adventure||Fiction / Science Fiction / General|
Killing Time	9780743505888	|Technological||Audiobooks||Fiction||Abridged Audio - Fiction/Mystery||Audio - Mystery||Audio Adult: Books On Tape||Thrillers||Science Fiction - General||Fiction / Thrillers|
By Sorrow's River (Mcmurtry, Larry. Berrybender Narratives, Bk. 3.)	9780743527897	|Unabridged Audio - Fiction/Westerns||Fiction||Audio Adult: Books On Tape||Westerns - General||Historical - General||Fiction / General||Audiobooks||General|
