Title	ISBN	Subjects
Black Beauty	9780531169810	|Horses||Classics||Children's 9-12 - Literature - Classics / Contemporary||Children's Books/Ages 9-12 Fiction||Readers - Chapter Books||Children: Young Adult (Gr. 10-12)||Juvenile Fiction||Fiction||Action & Adventure - General||Animals - Horses||Black Beauty (Fictitious character)|
Stepping Stones Across The Pacific	9780533127993	|Soldiers||Personal narratives, American||Fiction||Biography / Autobiography||World War, 1939-1945||Pacific Area||United States||Short Stories (single author)||General||Campaigns||Biography|
Cain's Book	9780714542331	|Modern fiction||Fiction - General||Fiction||General|
High on a Hill (Chivers Sound Library American Collections)	9780792726357	|Romance - General||Fiction||Unabridged Audio - Fiction/Romance||Audio Adult: Books On Tape|
The Final Solution	9780792734369	|Suspense||Fiction||Abridged Audio - Fiction/Mystery||Mystery & Detective - Historical||Audio - Mystery||General|
Rat Run	9780552153423	|Adventure / thriller||Action & Adventure||Fiction / Adventure||Fiction - General|
Anne of Avonlea	9780553151145	|General||Fiction / General||Teaching||Fiction||Children's 12-Up - Fiction - General||School stories||Teachers||Children: Grades 4-6|
MAGIC SPECTACLES, THE	9780553156300	|General||Non-Classifiable||Short stories||Children's stories, American||Children: Kindergarten||Children's 4-8||Animals||Fiction|
Wingman	9780553159585	|Schools||Action & Adventure - General||Non-Classifiable||New York (N.Y.)||Children: Grades 3-4||Chinese Americans||Children's 9-12||Fantasy||Fiction|
HIGHER THAN EAGLES	9780553220193	|Romance: Regency||Fiction||Fiction - Romance||Romance - General||Non-Classifiable|
Kristin Lavransdatter	9780553240368	Fiction
Kristin Lavransdatter	9780553245592	Fiction
Volcano	9780553261974	|General||Non-Classifiable||Fiction||Children's 12-Up - Fiction - General||Adventure and adventurers||Plot-your-own stories|
You Are a Shark	9780553263862	|General||Non-Classifiable||Literary recreations||Children's stories, American||Children: Babies & Toddlers||Children's 12-Up - Fiction - General||Animals||Fiction|
WILD SWAN (Wild Swan)	9780553272604	|Historical - General||Non-Classifiable||Fiction - Historical||Fiction|
Dark Apostle,the	9780553275438	|Espionage/Intrigue||Non-Classifiable||Fiction - Espionage / Thriller||Fiction|
The Skyliners	9780553276879	|Westerns||Fiction||Fiction - Western||Westerns - Louis L'Amour||Fiction / Westerns||Westerns - General|
Further Adventures of Batman, The	9780553282702	|Science fiction||Movie-TV Tie-In - General||Movie / TV Tie-Ins||Movie/Tv Tie-Ins||Non-Classifiable||Adventure and adventurers||Fiction||Short stories, American|
SHAPING THE DAWN (Shaper Exile, Vol 3)	9780553282870	|Science Fiction - General||Non-Classifiable||Science Fiction||Fiction||Fiction - Science Fiction||American Science Fiction And Fantasy|
Short Blade	9780553294170	|Science Fiction - General||Non-Classifiable||Science Fiction||American Science Fiction And Fantasy||Fiction||Fiction - Science Fiction|
END-OF-EVERYTHING MAN (End-Of-Everything Man)	9780553296587	|Fantasy - General||Non-Classifiable||Science Fiction||Fiction||Fiction - Fantasy|
The Trail to Peach Meadow Canyon (Louis L'Amour)	9780553450897	|Westerns - Louis L'Amour||Westerns||Audiobooks||Fiction||Abridged Audio - Fiction/Religious||Unabridged Audio - Fiction/Westerns||Audio Adult: Books On Tape||Westerns - General||Fiction / Westerns|
Shiloh	9780553471168	|Juvenile Fiction||Social Situations - Values||Dogs||Audio: Juvenile||Talking books for children||Children's Audio - 9-12||Social Issues - Values||Social Issues - Physical & Emotional Abuse||Fiction||Animals - Dogs||Classics||Juvenile Fiction / Animals / General||Specimens||Treatment||Animals|
Psychic Sisters	9780553480573	|School stories||Twins||Parapsychology||Children's 9-12 - Fiction - General||Children: Grades 4-6||Social Issues - General||Juvenile Fiction / General||Fiction||Psychic ability|
ANYTHING FOR A FRIEND (Skylark)	9780553480818	|General||Non-Classifiable||Schools||Fiction||Friendship||Children's 9-12||Moving, Household||Children: Grades 3-4|
Horse Blues	9780553484175	|Fiction||Children's 9-12 - Fiction - General||Children: Grades 4-6||Animals - Horses||Juvenile Fiction / Animals / Horses||Horsemanship||New Year|
JACK AND THE BEANSTALKER (GS17) (Graveyard School)	9780553485080	|Juvenile Fiction||Horror & Ghost Stories||Children's 9-12 - Fiction - Horror||Children: Grades 4-6||Monsters||Humorous Stories||Juvenile Fiction / Horror & Ghost Stories||Fiction||Horror stories|
A Close Run Thing	9780553507133	|Historical adventure||Historical fiction||Fiction - Historical||Fiction||Historical - General||War & Military||Fiction / Historical|
Crazy Lady	9780553526141	|Juvenile Fiction||Fiction||Children's audiobooks||Children's Audio - 9-12||Social Issues - General||Audio: Juvenile||Prejudices||Interpersonal relations||Classics||Juvenile Fiction / General||Family - General|
Time Out of Mind	9780553560398	|Mystery & Detective - General||Psychological||Non-Classifiable||Fiction - Psychological Suspense||Fiction|
Wild Child	9780553563887	|Romance||Romance - General||Fiction||Fiction - Romance||Romance: Modern||Non-Classifiable||Romance - Contemporary|
Fire on the Prairie (Mountain Majesty, No 7)	9780553564600	|Historical - General||Non-Classifiable||Fiction - Historical||Fiction|
Deadly Relations (Blood & Lace, Book 2)	9780553566178	|Horror & Ghost Stories||Children's 12-Up - Fiction - Horror||Children: Young Adult (Gr. 7-9)||Mysteries, Espionage, & Detective Stories||Non-Classifiable||Fiction||Vampires|
As Long as We Both Shall Live	9780553571080	|Social Issues - Death & Dying||Juvenile Fiction||Cystic fibrosis||Children's 12-Up - Fiction - General||Children: Young Adult (Gr. 7-9)||Terminally ill||Love & Romance||Juvenile Fiction / Social Situations / Death & Dying||Brain||Diseases||Fiction|
Crazy in Love	9780553587814	|Romance - General||Fiction||Fiction - General||General||Fiction / General||Sagas|
Ruth the Rebel (Gateway Books (Lutterworth))	9780718817381	|Christianity||Fiction||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children: Grades 4-6||Religious - Christian||Children's Books/Ages 9/12 Fiction||Christian life||Cultural Region/British Isles||England||Juvenile Fiction / Religious / Christian||Religious Orientation/Christian||Theometrics/Mainline||Youth & Children/Children/Children's Fiction-Christian_ **|
Time Train to Ancient Rome	9780794500238	|Mystery and detective stories||History - Ancient||Children: Grades 3-4||Juvenile Nonfiction||Children's 9-12 - Fiction - General||Readers - Intermediate||Children: Grades 4-6||Puzzles||Adventure and adventurers||Fiction|
The Screwtape Letters	9780800606503	|Christian life||Christianity||Humorous||Religious - General||Fiction||20th century|
Moho Wat	9780801089183	|Shoshoni Indians||General||Juvenile fiction||Children: Grades 4-6||Fiction||Children's 9-12||Indians of North America|
Rupert and the Hazelnut	9780563207436	|Fiction||Animals - Bears||Children's 4-8 - Picturebooks|
The Ultimate Treasure (Doctor Who Series) (Dr. Who Series)	9780563405719	|Science fiction||Science Fiction - General||Fiction||Fiction - Science Fiction||Science Fiction - Series||Movie-TV Tie-In - General|
The Fall of Yquatine	9780563555940	|Science fiction||Science Fiction - Series||Fiction - Science Fiction||Fiction||Literary|
Buttercup  &  the Fairy Gold--FFF ch bk 5	9780723258407	|Fairy tales, folk tales, fables, magical tales & traditional stories||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children: Grades 2-3||Action & Adventure - General||Readers - Chapter Books||Science Fiction, Fantasy, & Magic||Juvenile Fiction / Fairy Tales & Folklore / Single Title||Fairy Tales & Folklore - General||Elves||Fairies||Fiction||Lost and found possessions||Children's Books/All Ages|
A Little Learning (Inspector Peach Mystery)	9780727857637	|Crime & mystery||Mystery & Detective - Traditional British||Fiction - Mystery/ Detective||Fiction||Mystery/Suspense||Fiction / Mystery & Detective / Traditional British||Fiction / Mystery/ Detective||Mystery & Detective - General|
Porthminster Hall	9780727863270	|Historical fiction||Romance||Romance - Historical||Fiction||Fiction - Romance||Fiction / Romance||Fiction / Romance / Historical||Inheritance and succession||St. Ives (Cornwall, England)||Historical - General||Thrillers|
Scorpion Rising (Claudia)	9780727891693	|Crime & mystery||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Historical||Mystery & Detective - Women Sleuths||Chronological Period/Ancient (To 499 A.D.)||Cultural Region/Italy||Fiction / Mystery & Detective / General||Fiction / Mystery/ Detective||Fiction/Mystery & Detective - Women Sleuths||Sex & Gender/Feminine||Mystery & Detective - General|
Infortunios De Alonso Ramirez (Grant & Cutler Spanish Texts)	9780729301718	|Other prose: 16th to 18th centuries||Fiction||Ramirez, Alonso|
A Carnivore's Inquiry	9780802117694	|Young women||New York (N.Y.)||Maine||Fiction - General||Fiction||Psychological||Literary||Fiction / Literary||Mexico||Murder|
The Importance of a Piece of Paper	9780802141811	|Short Stories (single author)||Fiction - General||Fiction||Fiction / Short Stories (single author)||Literary|
Tabitha	9780802784483	|Lost and found possessions||General||Children's 4-8||Children's Books/Ages 4-8 Fiction||Fiction||Juvenile fiction||Cats||Air travel|
National Provincial	9780575041738	|Modern fiction||Fiction - General||Fiction|
The Blade Itself	9780575079793	Fantasy
